t90	holds	not-landed	needs-operator-decision
t125	unverified	not-landed	needs-operator-decision
t154	holds	in-flight-unlanded	needs-operator-decision
t191	unverified	not-landed	keep
t196	falsified	not-landed	needs-operator-decision
t201	falsified	landed	already-landed
t204	holds	not-landed	needs-operator-decision
t216	holds	in-flight-unlanded	needs-operator-decision
t223	unverified	not-landed	needs-operator-decision
t224	falsified	unknown	needs-operator-decision
t231	holds	not-landed	keep
t233	falsified	not-landed	needs-operator-decision
t236	unverified	not-landed	needs-operator-decision
t237	holds	not-landed	keep
t239	unverified	not-landed	keep
t240	falsified	not-landed	needs-operator-decision
t242	holds	not-landed	keep
t243	falsified	not-landed	already-landed
t244	holds	not-landed	keep
t247	falsified	not-landed	already-landed
t248	holds	not-landed	needs-operator-decision
t252	holds	not-landed	keep
t253	holds	not-landed	keep
t254	falsified	not-landed	drop
t255	holds	not-landed	keep
t260	unverified	not-landed	needs-operator-decision
t262	holds	not-landed	keep
t263	falsified	not-landed	needs-operator-decision
t264	holds	not-landed	keep
t280	holds	not-landed	keep
t281	falsified	not-landed	drop
t284	holds	not-landed	keep
t286	unverified	not-landed	needs-operator-decision
t287	unverified	not-landed	needs-operator-decision
t288	holds	not-landed	keep
t295	holds	not-landed	keep
t296	holds	not-landed	keep
t297	holds	not-landed	keep
t300	holds	not-landed	keep
t302	holds	not-landed	keep
t304	holds	not-landed	keep
t305	holds	not-landed	keep
t313	holds	landed	already-landed
t315	holds	not-landed	keep
t319	holds	not-landed	needs-operator-decision
t320	falsified	not-landed	needs-operator-decision
t323	holds	not-landed	keep
t324	holds	not-landed	keep
t325	holds	not-landed	keep
t327	holds	not-landed	keep
t329	holds	not-landed	keep
t337	holds	in-flight-unlanded	needs-operator-decision
t339	holds	not-landed	keep
t344	holds	not-landed	needs-operator-decision
t345	holds	not-landed	needs-operator-decision
t347	holds	landed	already-landed
t348	holds	not-landed	keep
t353	holds	not-landed	keep
t359	holds	not-landed	keep
t360	holds	not-landed	keep
t361	unverified	not-landed	keep
t363	holds	not-landed	keep
