SPEC-ADVISOR-RUNG-001	superseded	S	-	-	draft	draft
SPEC-AGENCY-ABSORB-001	implemented	NONE	-	-	draft	draft
SPEC-AGENT-001	implemented	NONE	-	-	NOSTATUS	-
SPEC-AGENT-002	implemented	NONE	-	-	NOFM	NOFM
SPEC-AGENT-ARCH-V2-001	completed	L	completed	completed	completed	completed
SPEC-AGENT-EMIT-LINEAGE-001	completed	M	-	-	NOFM	NOFM
SPEC-AGENT-MODEL-ENFORCE-001	completed	M	-	-	NOFM	NOFM
SPEC-AGENT-PARALLEL-OPT-001	completed	L	draft	draft	completed	completed
SPEC-AGENT-PROGRESS-PUSH-001	completed	L	NOFM	NOFM	NOFM	NOFM
SPEC-AGENT-TEAM-RETIRE-001	completed	L	NOFM	NOFM	NOFM	NOFM
SPEC-AGENTS-MD-CANON-001	completed	L	NOFM	NOFM	NOFM	NOFM
SPEC-ALWAYS-LOADED-DIET-001	completed	M	-	-	NOFM	NOFM
SPEC-ANALYZE-FIRST-ROUTING-001	completed	M	-	NOFM	NOFM	NOFM
SPEC-ASKUSER-ENFORCE-001	implemented	NONE	-	-	draft	draft
SPEC-ASTG-UPGRADE-001	archived	NONE	-	-	NOFM	NOFM
SPEC-ASTGREP-BREADTH-001	draft	L	-	-	NOFM	-
SPEC-ASTGREP-DOGFOOD-CLEANUP-001	completed	NONE	-	-	completed	completed
SPEC-ASTGREP-EDIT-001	completed	NONE	-	-	completed	completed
SPEC-ASTGREP-LANG16-001	in-progress	L	NOFM	NOFM	NOFM	NOFM
SPEC-ASTGREP-MULTILANG-001	completed	M	-	-	NOFM	NOFM
SPEC-AUDIT-GATE-INTEGRITY-001	completed	M	-	-	NOFM	NOFM
SPEC-AUDIT-MULTI-MODEL-001	completed	L	NOFM	NOFM	NOFM	NOFM
SPEC-AUDIT-SNAPSHOT-001	completed	M	-	-	NOFM	NOFM
SPEC-AUTONOMY-RUN-GOAL-001	completed	M	NOFM	-	NOFM	NOFM
SPEC-AUTONOMY-TIERS-001	completed	M	-	-	NOFM	NOFM
SPEC-BACKLOG-LOCK-BUDGET-001	implemented	S	-	-	implemented	implemented
SPEC-BINARY-LAG-VISIBILITY-001	completed	M	-	-	completed	completed
SPEC-BRAND-DIR-REMOVE-001	completed	M	-	-	draft	draft
SPEC-CACHE-ORDER-001	archived	3	-	NOFM	NOSTATUS	NOSTATUS
SPEC-CADENCE-BRIDGE-001	completed	S	-	-	completed	completed
SPEC-CC-DOCS-ALIGNMENT-001	completed	M	-	-	NOFM	NOFM
SPEC-CC2122-HOOK-001	implemented	NONE	-	-	-	-
SPEC-CC2122-HOOK-002	implemented	NONE	-	-	-	-
SPEC-CC2122-MCP-001	implemented	NONE	-	-	NOFM	NOFM
SPEC-CC2122-STATUSLINE-001	implemented	NONE	-	-	NOFM	NOFM
SPEC-CC2178-DOCS-ALIGN-001	completed	S	-	NOFM	NOFM	NOFM
SPEC-CC2178-MODEL-POLICY-REPAIR-001	completed	NONE	-	NOFM	NOFM	NOFM
SPEC-CC2178-TEAM-API-ALIGN-001	completed	M	NOFM	-	NOFM	NOFM
SPEC-CC2186-BG-PERMISSION-RATIONALE-001	completed	M	-	NOFM	NOFM	NOFM
SPEC-CC2219-UPSTREAM-ALIGN-001	completed	L	-	NOFM	NOFM	NOFM
SPEC-CC297-001	implemented	NONE	-	NOFM	-	backfilled
SPEC-CCSYNC-CLAUDEMD-001	completed	NONE	-	-	NOFM	NOFM
SPEC-CCSYNC-DYNWF-001	completed	S	-	-	NOFM	NOFM
SPEC-CCSYNC-TOOLCAT-001	completed	NONE	-	-	NOFM	NOFM
SPEC-CHAIN-CORE-001	completed	L	NOFM	NOFM	NOFM	NOFM
SPEC-CI-DOCTOR-BIN-001	completed	S	-	-	NOFM	-
SPEC-CI-FLAKE-SERIES-001	implemented	M	-	-	NOFM	NOFM
SPEC-CI-FLAKY-STABILIZE-001	completed	M	-	-	completed	completed
SPEC-CI-LOOP-DEVONLY-001	completed	M	-	NOFM	NOFM	NOFM
SPEC-CI-MULTI-LLM-001	implemented	NONE	-	-	implemented	NOSTATUS
SPEC-CICD-001	implemented	NONE	-	-	NOFM	NOFM
SPEC-CLAUDEMD-DIET-V2-001	completed	M	-	-	NOFM	NOFM
SPEC-CLEANUP-EVALUATOR-001	completed	S	-	-	draft	draft
SPEC-CLI-001	completed	NONE	-	-	NOFM	NOFM
SPEC-CLI-CLEAN-SYMLINK-001	completed	M	-	-	in-progress	in-progress
SPEC-CLI-LINT-COMPLETED-001	completed	S	-	-	NOFM	NOFM
SPEC-CLI-STATE-DIR-BOUND-001	completed	M	-	-	NOFM	NOFM
SPEC-CLI-SUBPKG-SPLIT-001	completed	L	NOFM	NOFM	NOFM	NOFM
SPEC-CLI-TEST-CWD-ISOLATION-001	completed	M	-	-	NOFM	NOFM
SPEC-CLI-TUI-MODERNIZE-001	completed	L	draft	draft	in-progress	in-progress
SPEC-CLI-TUX-INIT-UPDATE-001	completed	M	-	-	NOFM	NOFM
SPEC-CLI-TUX-V3-001	completed	L	NOFM	NOFM	NOFM	NOFM
SPEC-CLI-TUX-V3-002	completed	M	-	-	NOFM	NOFM
SPEC-CLI-TUX-V3-003	completed	L	-	-	NOFM	NOFM
SPEC-CLI-TUX-V3-004	completed	M	-	-	NOFM	NOFM
SPEC-CLI-TUX-V3-005	completed	M	-	NOFM	NOFM	NOFM
SPEC-CLI-UIKIT-KERNEL-001	completed	L	NOFM	NOFM	NOFM	NOFM
SPEC-CLI-WIZARD-RESTRUCTURE-001	completed	L	completed	completed	completed	completed
SPEC-CLIFIX-CONCURRENCY-001	completed	M	-	-	NOFM	NOFM
SPEC-CLIFIX-CONTRACT-001	completed	M	-	-	NOFM	NOFM
SPEC-CLIFIX-CRITICAL-001	completed	M	-	-	NOFM	NOFM
SPEC-CLIFIX-HYGIENE-001	completed	L	NOFM	NOFM	NOFM	NOFM
SPEC-CLIFIX-LINTER-STALE-001	completed	M	-	-	NOFM	NOFM
SPEC-CLOCAL-AUDIT-001	in-progress	M	-	-	NOFM	NOFM
SPEC-CODEX-DUAL-AGENTS-001	completed	M	-	-	NOFM	NOFM
SPEC-CODEX-HOOK-ADAPTER-001	completed	M	-	-	NOFM	NOFM
SPEC-CODEX-INIT-001	completed	M	-	-	NOFM	NOFM
SPEC-CODEX-LAUNCHER-001	completed	M	-	-	NOFM	NOFM
SPEC-CODEX-PHASE2-001	completed	M	-	-	NOFM	NOFM
SPEC-CODEX-SESSION-MSG-001	completed	L	NOFM	NOFM	NOFM	NOFM
SPEC-CODEX-SKILLS-CANONICAL-001	completed	M	-	-	NOFM	NOFM
SPEC-CODEX-VERDICT-SYNTH-001	completed	S	-	-	draft	draft
SPEC-CODEX-WIRING-001	completed	M	-	-	NOFM	NOFM
SPEC-COMPLETION-MARKER-RETIRE-001	completed	M	-	-	NOFM	NOFM
SPEC-CONFIG-001	completed	NONE	-	-	planned	planned
SPEC-CONFIG-ATOMIC-WRITE-001	completed	M	-	-	NOFM	NOFM
SPEC-CONFIG-AUDIT-REPAIR-001	completed	L	NOFM	NOFM	completed	completed
SPEC-CONFIG-DEAD-SWEEP-001	in-progress	S	-	-	NOFM	NOFM
SPEC-CONFIG-KEY-HONESTY-001	completed	M	-	-	NOFM	NOFM
SPEC-CONFIG-MODE-MIGRATE-001	completed	S	-	-	NOFM	-
SPEC-CONFIG-SECTION-INTEGRITY-001	draft	M	-	-	NOFM	NOFM
SPEC-CONFIG-TIER-PERSIST-001	superseded	M	-	-	NOFM	NOFM
SPEC-CONFIG-TIER-RESOLVE-001	draft	M	-	-	NOFM	NOFM
SPEC-CONTEXT-ENGINE-RIGHTSIZE-001	completed	M	-	-	NOFM	NOFM
SPEC-CONTEXT-INJ-001	archived	2	-	NOFM	NOSTATUS	NOSTATUS
SPEC-CORE-001	implemented	NONE	-	-	planned	planned
SPEC-CORE-BEHAV-001	implemented	NONE	-	-	-	backfilled
SPEC-CRON-PATTERN-001	archived	3	-	NOFM	NOSTATUS	NOSTATUS
SPEC-CURATION-001	implemented	NONE	-	-	-	-
SPEC-DB-CMD-001	implemented	NONE	-	-	-	backfilled
SPEC-DB-RETIRE-001	completed	M	-	-	completed	completed
SPEC-DB-SYNC-001	implemented	NONE	-	-	-	backfilled
SPEC-DB-SYNC-002	archived	NONE	-	-	-	-
SPEC-DB-SYNC-HARDEN-001	implemented	NONE	-	-	NOSTATUS	NOSTATUS
SPEC-DB-SYNC-RELOC-001	implemented	NONE	-	-	NOSTATUS	NOSTATUS
